isomeric_smiles,logS0
C1O[C@H]1c1ccccc1,-1.6
C=CCS[S@@](=O)CC=C,-0.83
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c1ccc(cc1)N(C)C,-5.825
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.761
CC(=O)N1CCN(CC1)c1ccc(OC[C@H]2CO[C@@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1,-3.8
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCN(CC2)C(=O)CO)c(F)c1,-1.97
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(N2CCOCC2)c(F)c1,-2.07
CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,-6.63
CC(=O)O[C@]1(C(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-5.57
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)C(O)=O,-8.7585
CC(C)(C)NC[C@H](O)COc1ccc(NC(=O)NC2CCCCC2)cc1,-3.62
CC(C)(C)NC[C@H](O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,-1.57
CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,-1.224
CC(C)(C)c1ccc(cc1)[C@@H](O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,-6.69
CC(C)(O\N=C(\C(=O)N[C@H]1[C@H]2SCC(C[n+]3ccccc3)=C(N2C1=O)C(O)=O)c1csc(N)n1)C(O)=O,-2.038
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O,-4.8
CC(C)(S)[C@H](N)C(O)=O,-0.128
CC(C)=CCC[C@](C)(O)C=C,-1.99
CC(C)CC[C@@H](C)O,-1.38
CC(C)C[C@@H](C)O,-0.79625
CC(C)C[C@H](C)CO,-1.6
CC(C)C[C@H](N)C(O)=O,-0.75
CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O,-3.595
CC(C)Cn1c(C)nc2n(C)c(=O)n(C)c(=O)c12,-1.599
CC(C)Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.942
CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,-3.1
CC(C)N(CC[C@H](c1ccccc1)c1cc(C)ccc1O)C(C)C,-2.58
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,-1.3
CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1,-1.93
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,-3.88
CC(C)NC[C@H](O)COc1cccc2ccccc12,-3.7075
CC(C)NC[C@H](O)COc1ccccc1CC=C,-2.82
CC(C)NC[C@H]1CCc2cc(CO)c(cc2N1)[N+]([O-])=O,-2.965
CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1,-5.74
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,-5.712
CC(C)[C@@H](C)O,-0.186666667
CC(C)[C@H](C)CO,-0.39
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,-2.53
CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1,-5.8
CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)S(C)(=O)=O,-2.48
CC(C)n1c(\C=C\[C@H](O)C[C@H](O)CC(O)=O)c(-c2ccc(F)cc2)c2ccccc12,-3.83
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,-2.031
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,-2.086
CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,-2.32
CC1=C(CC(O)=O)c2cc(F)ccc2\C1=C/c1ccc(cc1)[S@](C)=O,-4.78
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O,-1.215
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,-3.481
CCC1(C(=O)NC(=O)NC1=O)C1=C[C@@H]2CC[C@@H](C2)C1,-2.773
CCC1(CC)C(=O)NC[C@H](C)C1=O,-0.382
CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,-6.44
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(c1)C(C)=O,-2.4375
CCCCCCCCC[C@@H](C)O,-2.94
CCCCCCCN(CC)CCC[C@@H](O)c1ccc(NS(C)(=O)=O)cc1,-1.81
CCCCCCC[C@@H](C)O,-2.74
CCCCCC[C@@H](C)O,-1.99
CCCCC[C@@H](C)O,-1.55
CCCCC[C@@H](O)CC,-1.98
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,-3.67
CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,-2.47
CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C,-3.511
CCCCNC(=O)OC[C@@](C)(CCC)COC(N)=O,-2.739
CCCCOc1ccc(OCCCN2CCOCC2)cc1,-3.5
CCCC[C@@H](C)O,-0.89
CCCC[C@@H](CC)C=O,-2.13
CCCC[C@@H](CC)CO,-2.11
CCCC[C@@H](O)CC,-1.47
CCCC[C@H](C)[C@H](C)O,-1.72
CCCC[C@](C)(O)CC,-1.6
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-8.174
CCCCn1c(C)nc2n(C)c(=O)n(C)c(=O)c12,-1.745
CCCNC[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,-5.2
CCCOc1ccc2[C@@H]([C@H]([C@@H](c2c1)c1ccc(OC)cc1OCC(O)=O)C(O)=O)c1ccc2OCOc2c1,-6.771
CCC[C@@H](C)O,-0.29
CCC[C@@H](O)CC,-0.8
CCC[C@@H](O)[C@H](CC)CO,-0.54
CCC[C@@]1(CCc2ccccc2)CC(=O)[C@@H]([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(cn3)C(F)(F)F)c2)C(=O)O1,-6.3
CCC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,-2.41
CCC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.333
CCC[C@H](C)CO,-1.11
CCC[C@H](O)C=C,-0.59
CCC[C@](C)(O)CC,-0.986666667
CCC[S@](=O)CCCN(CC)C[C@@H](O)COc1ccc(cc1)C#N,-1.17
CCC\C(=C(/C)O)C(C)=O,-0.88
CCC\C=C(\CC)C=O,-2.46
CCN(CC)C(=O)Nc1ccc(OC[C@@H](O)CNC(C)(C)C)c(c1)C(C)=O,-1.9
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,-4.35
CCN(CC)CCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,-3.89
CCN(Cc1ccncc1)C(=O)[C@@H](CO)c1ccccc1,-1.698
CCN1CCC[C@@H]1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O,-2.876
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O,-2.95
CCOC(=O)C1=C(C)NC(C)=C([C@H]1c1cccc(Cl)c1Cl)C(=O)OC,-5.89
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(O)=O,-1.9
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@@H]2C[C@H]1C(O)=O,-2.84
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,-6.735
CCOP(=S)(OCC)Oc1ccc(cc1)[S@](C)=O,-2.3
CC[C@@H](C)C(C)(C)O,-0.89
CC[C@@H](C)C(C)=O,-0.67
CC[C@@H](C)OC(N)=O,-0.3
CC[C@@H](CO)NCCN[C@@H](CC)CO,-0.565
CC[C@@H](Cc1c(I)cc(I)c(N)c1I)C(O)=O,-4.58
CC[C@@H](O)C(C)(C)C,-1.15
CC[C@@H](O)C(C)C,-0.7
CC[C@@](C)(O)C(C)(C)C,-1.27
CC[C@@](C)(O)C(C)C,-0.85
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,-6.0
CC[C@H](C)C1(CC)C(=O)NC(=O)NC1=O,-2.333
CC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
CC[C@H](C)CO,-0.47
CC[C@H](C)[C@H](C)O,-0.716666667
CC[C@H](N)C(O)=O,0.3075
CC[C@H]1NC(=O)NC1=O,-0.06
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,-3.15
CC[C@]1(CCC(=O)NC1=O)c1ccccc1,-2.337
CCc1ccc(CCOc2ccc(C[C@H]3SC(=O)NC3=O)cc2)nc1,-6.185
CCc1cccc(C)c1N([C@@H](C)COC)C(=O)CCl,-2.73
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-4.109
CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c12,-2.43291365
CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,-7.074
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,-3.78
CN(C)CCO[C@@H](c1ccccc1)c1ccccc1C,-4.1
CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)[C@H](C(N)=O)C1=O)N(C)C,-0.944
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)[C@H](C(N)=O)C1=O)C(=O)c1c(O)ccc(Cl)c1[C@@]3(C)O,-2.94
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)[C@H](C(N)=O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O,-2.924
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)[C@H](C(N)=O)C1=O)C(=O)c1c(O)cccc1[C@@]3(C)O,-3.093
CN(CCOc1ccc(C[C@H]2SC(=O)NC2=O)cc1)c1ccccn1,-5.25
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,-4.1
CN1C(=O)NC(=O)[C@@](C)(C1=O)C1=CCCCC1,-2.674
CN1C(C(=O)Nc2cc(C)on2)=C(O)c2ccccc2S1(=O)=O,-5.61
CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12,-4.35
CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@@H]3C=C[C@@H]4O)ccc5O,-3.154
CN1C[C@@H](O)N(C1=O)c1nnc(s1)C(C)(C)C,-1.877
CN1[C@@H](CCl)Nc2cc(Cl)c(cc2S1(=O)=O)S(N)(=O)=O,-3.778
CN1[C@H]2CC[C@@H]1C[C@H](C2)OC(=O)[C@@H](CO)c1ccccc1,-2.004
CN1[C@H]2CC[C@@H]1C[C@H](C2)OC(=O)[C@H](CO)c1ccccc1,-1.91
CNC(=O)O\N=C1\[C@H](Cl)[C@H]2C[C@@H](C#N)[C@@H]1C2,-2.08
CNC(=O)[C@@H](C)SCCSP(=O)(OC)OC,1.144
CNCCC[C@@]12CC[C@@H](c3ccccc13)c1ccccc21,-4.796
CNCC[C@H](Oc1ccc(cc1)C(F)(F)F)c1ccccc1,-3.92
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc12,-4.83
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)c1ccccc1)N2C,-2.26
COC(=O)[C@@H]1[C@H]2C[C@H](C=C2)[C@H]1C(=O)OC,-1.2
COC(=O)c1ccccc1O[C@@H]1O[C@H](CO[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,-0.742
COC1=CC(=O)C[C@@H](C)[C@]11Oc2c(C1=O)c(OC)cc(OC)c2Cl,-4.83
COCC(=O)N([C@H](C)C(=O)OC)c1c(C)cccc1C,-1.6005
COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1,-1.315
COP(=O)(OC)O[C@@H](Br)C(Cl)(Cl)Br,-2.28
COP(=O)(OC)[C@H](O)C(Cl)(Cl)Cl,-0.22
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5O[C@@H]2[C@]3(CCN1CC1CC1)c45,-4.37
CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,-2.564
CO[P@@](=O)(NC(C)=O)SC,0.54
COc1cc(N[C@@H](C)CCCN)c2ncccc2c1,-2.52
COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)[C@H]1CCCO1,-1.8
COc1ccc(CCN(C)CCC[C@@](C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,-4.6
COc1ccc(cc1)[C@@](O)(C1CC1)c1cncnc1,-2.598
COc1ccc2nc([nH]c2c1)[S@](=O)Cc1ncc(C)c(OC)c1C,-3.42
COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,-2.788
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,-2.812
COc1cccc(c1)[C@@]1(O)CCCC[C@@H]1CN(C)C,-2.24
COc1ccccc1OC[C@@H](O)CO,-0.598
COc1ccccc1OC[C@@H](O)COC(N)=O,-0.985
CS(=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,-2.154
CSCC[C@H](N)C(O)=O,-0.42
CSc1ccc2Sc3ccccc3N(CC[C@H]3CCCCN3C)c2c1,-5.362
C[C@@H](C(O)=O)c1ccc(c(F)c1)-c1ccccc1,-4.256
C[C@@H](C(O)=O)c1ccc(cc1)N1Cc2ccccc2C1=O,-4.772
C[C@@H](C(O)=O)c1ccc2c(c1)[nH]c1ccc(Cl)cc21,-4.699
C[C@@H](C(O)=O)c1cccc(Oc2ccccc2)c1,-3.699
C[C@@H](C(O)=O)c1cccc(c1)C(=O)c1ccccc1,-3.38
C[C@@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(c1)C(N)=O,-3.41
C[C@@H](CN1c2ccccc2Sc2ccccc12)N(C)C,-4.34
C[C@@H](Cc1ccccc1)N(C)CC#C,-2.513
C[C@@H](N(O)C(N)=O)c1cc2ccccc2s1,-3.373
C[C@@H](N)C(O)=O,0.243
C[C@@H](N)CC(O)=O,1.08
C[C@@H](O)C(C)(C)C,-0.62
C[C@@H](O)C(F)(F)F,0.3
C[C@@H](O)[C@@H](N)C(O)=O,-0.09
C[C@@H](O)c1ccccc1,-0.92
C[C@@H]1CCCC(=O)C1,-1.87
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(CC1)c1cc(nc(n1)N1CCCC1)N1CCCC1,-7.59
C[C@@H]1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O,-4.33
C[C@@]12CC[C@@H](CC1)C(C)(C)O2,-1.69
C[C@@]12CC[C@@H]3C(=CCc4cc(O)ccc34)[C@H]1CC[C@@H]2O,-4.402
C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc12,-4.796
C[C@H](N)C(O)=O,0.25
C[C@H](NCCC(c1ccccc1)c1ccccc1)c1ccccc1,-4.0
C[C@H](O)Cn1cnc2n(C)c(=O)n(C)c(=O)c12,0.623
C[C@H](OC(=O)Nc1cccc(Cl)c1)C#C,-2.617
C[C@H]1CCCCC1=O,-0.94
C[C@H]1CC[C@@H](CC1=O)C(C)=C,-2.18
C[C@H]1CC[C@H](O)CC1,-0.88
C[C@H]1CCc2cc(F)cc3c2n1cc(C(O)=O)c3=O,-3.733
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,-1.266
C[C@H]1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O,-3.792
C[C@H]1[C@H](NC(=O)C(=N\OC(C)(C)C(O)=O)\c2csc(N)n2)C(=O)N1S(O)(=O)=O,-1.639
C[C@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC=C(C)C,-3.803
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.239
C[C@]12CC[C@H]3[C@@H](CCC4=Cc5oncc5C[C@]34C)[C@@H]1CC[C@@]2(O)C#C,-5.507
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1C[C@@H](O)[C@@H]2O,-4.955
C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O,-5.249
C\C(O)=C\C(C)=O,0.22
C\N=C(/NCCSCc1[nH]cnc1C)NC#N,-1.655
C\N=C1\CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,-2.176
Cc1ccc(Cl)c(Nc2ccccc2C(O)=O)c1Cl,-6.267
Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1C[C@@H]2CCC[C@@H]2C1,-4.175
Cc1cccc(CN2CCN(CC2)[C@H](c2ccccc2)c2ccc(Cl)cc2)c1,-6.481
Cc1cn([C@H]2C[C@H]([N-][N+]#N)[C@@H](CO)O2)c(=O)[nH]c1=O,-1.0645
Cc1nc2[C@@H](O)CCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12,-4.435
Cc1nnc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn2cnnn2)C3=O)C(O)=O)s1,-2.616
Clc1ccc(CC[C@@](Cn2cncn2)(C#N)c2ccccc2)cc1,-6.226
Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,-5.4305
Clc1cccc(Cl)c1NC1=NCCN1,-0.1
Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,-6.585
Clc1cccc(c1)N1CCN(CCCn2nc3ccccn3c2=O)CC1,-3.1875
Cn1c2ncn(C[C@@H](O)CO)c2c(=O)n(C)c1=O,0.118
Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](O)c1ccccc1)C2=O)C(O)=O,-0.143
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O,-4.28
NC(=N)Nc1nc(CSCC\C(N)=N\S(N)(=O)=O)cs1,-2.49
NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,-3.13
NC[C@@H](CC(O)=O)c1ccc(Cl)cc1,-1.696
NS(=O)(=O)c1cc(ccc1Cl)[C@]1(O)NC(=O)c2ccccc12,-3.451
NS(=O)(=O)c1cc2c(N[C@@H](Cc3ccccc3)NS2(=O)=O)cc1C(F)(F)F,-4.298
NS(=O)(=O)c1cc2c(N[C@@H](NS2(=O)=O)C(Cl)Cl)cc1Cl,-3.354253415
NS(=O)(=O)c1cc2c(N\C(NS2(=O)=O)=C/SCc2ccccc2)cc1Cl,-4.829
N[C@@H](CC(N)=O)C(O)=O,-0.74
N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O,-4.259
N[C@@H](Cc1ccc(O)c(O)c1)C(O)=O,-1.818
N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O,-3.485
N[C@@H](Cc1ccccc1)C(O)=O,-0.804
N[C@@H]1CONC1=O,-0.009
N[C@H]1[C@@H]2CN(C[C@H]12)c1nc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1F,-4.48
N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,-1.854
Nc1[nH]c(=O)nc2nc[nH]c12,-3.401
Nc1cc[nH]c(=O)n1,-1.159
Nc1nc(=O)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)cnc2[nH]1,-5.344
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,-2.2244
Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.728
O=C(C1CCCCC1)N1C[C@H]2N(CCc3ccccc23)C(=O)C1,-2.893
O=C1N([C@@H]2CCC(=O)NC2=O)C(=O)c2ccccc12,-3.699
O=C1NC(=O)C(C2CCC2)C(=O)N1,-2.349
O=C1NC(=O)C(C2CCCC2)C(=O)N1,-3.06
O=C1NC(=O)C(C2CCCCC2)C(=O)N1,-3.168
O=C1NC(=O)C(C2CCCCCC2)C(=O)N1,-2.982
O=c1[nH]c2nc[nH]c2c(=O)[nH]1,-2.483
O=c1cc[nH]cn1,0.59
O=c1nc2nccnc2c[nH]1,-1.947
O=c1nc[nH]c2n[nH]cc12,-2.453
OC(=O)[C@@H]1CCCN1,1.149
OCCN(CCO)c1nc(N2CCCCC2)c2nc(nc(N3CCCCC3)c2n1)N(CCO)CCO,-5.332
OCCN1CCN(CC\C=C2/c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,-4.0185
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O,-2.111
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,0.74
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0.05845
OC[C@@H](O)[C@H]1O[C@@H]2O[C@@H](O[C@@H]2[C@H]1O)C(Cl)(Cl)Cl,-1.84
OC[C@@H]1CC[C@@H](O1)n1cnc2c1[nH]cnc2=O,-0.937
OC[C@H](O)COC(=O)c1ccccc1Nc1ccnc2cc(Cl)ccc12,-4.571
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1.148
OC[C@H](O)[C@H](O)CO,0.7
OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,0.277
OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](O[C@H](C#N)c3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.77
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c1[nH]cnc2=O,-1.23
OC[C@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,0.64
O[C@@H](C(=O)c1ccccc1)c1ccccc1,-2.85
O[C@@H]([C@@H](O)c1ccccc1)c1ccccc1,-1.93
O[C@@H]1CCOC1,1.05
O[C@@H]1CO[C@H](O)[C@@H](O)[C@@H]1O,0.39
O[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,-3.952
O[C@@H]1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,-3.604
O[C@@](CCN1CCCC1)(C1CCCCC1)c1ccccc1,-4.7
O[C@@](CCN1CCCCC1)(C1CCCCC1)c1ccccc1,-5.2
O[C@H](Cc1ccccc1)c1ccccc1,-2.52
O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O,0.39
S=c1nc2nccnc2c[nH]1,-2.629
c1[nH]nc2ccccc12,-2.16
c1cn(cn1)[C@H](c1ccccc1)c1ccc(cc1)-c1ccccc1,-6.27
